what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032465205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032472776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.openEditorDropDown",1429032472780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032476306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032494381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032495077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032495619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032496459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032497894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032502293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429032508682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429032512212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032513831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032741622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429032754264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429032755524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032771402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032779084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429032781346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032792032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032807196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429032808657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032828441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032836368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429032837291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032842374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032846305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429032848096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1429032850864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032857176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032862421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032867165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032869809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032880593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032920148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032940174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032944875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032951454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032955127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032965938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429032968994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429032970219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033052338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033063399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429033068542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429033069432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033090912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033100853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429033115302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429033116000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033129718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033769156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429033772277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033799732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033833565
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1429033833684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033851007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033894263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429033900296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034107614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429034109908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034110690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1429034132980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034135689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034154014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034155609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429034161135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034162690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034172565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034240254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034249075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034253977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034256192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034258259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034388276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034419223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034491348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429034502380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034502870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034506431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034508487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034513329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034514510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034514774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034515936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034530152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1429034533255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034541515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034616718
started,bundle,org.eclipse.mylyn.java.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.java.ui",1429034625454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034655606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034674637
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1429034674646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429034686927
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429034695092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034704517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429034716522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034717788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429034748823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034749630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1429034784129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034817260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034847862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034852802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034855324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429034857681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034858916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1429034870300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034880285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034885023
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1429034885031
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429034886434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1429034889113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1429034897829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1429034902592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034908689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429034929539
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1429034929546
